gene,samp_state,sample,start
GYG2,escape,peripheral_blood_leukocytes,2828821
GYG2,escape,buccal,2828821
GYG2,escape,buffy_coat,2828821
GYG2,escape,blood,2828821
GYG2,escape,saliva,2828821
GYG2,escape,kidney,2828821
GYG2,escape,muscle,2828821
GYG2,escape,subcutaneous_fat,2828821
GYG2,escape,omentum,2828821
GYG2,escape,stomach,2828821
GYG2,escape,hair,2828821
GYG2,escape,heart,2828821
GYG2,escape,pancreas,2828821
GYG2,escape,adrenal,2828821
GYG2,escape,spleen,2828821
GYG2,escape,lung,2828821
GYG2,escape,liver,2828821
GYG2,escape,brain_prefrontal_cortex,2828821
GYG2,escape,brain,2828821
GYG2,escape,brain10,2828821
GYG2,escape,brain20,2828821
GYG2,escape,brain7,2828821
GYG2,escape,whole_blood,2828821
GYG2,escape,PBMC,2828821
GYG2,escape,cord_blood,2828821
GYG2,escape,blood_spot,2828821
GYG2,escape,kidney_tubule,2828821
ARSD,escape,peripheral_blood_leukocytes,2929374
ARSD,escape,buccal,2929374
ARSD,escape,buffy_coat,2929374
ARSD,escape,blood,2929374
ARSD,escape,saliva,2929374
ARSD,escape,kidney,2929374
ARSD,escape,muscle,2929374
ARSD,escape,subcutaneous_fat,2929374
ARSD,escape,omentum,2929374
ARSD,escape,stomach,2929374
ARSD,escape,hair,2929374
ARSD,escape,heart,2929374
ARSD,escape,pancreas,2929374
ARSD,escape,adrenal,2929374
ARSD,escape,spleen,2929374
ARSD,escape,lung,2929374
ARSD,escape,liver,2929374
ARSD,escape,brain_prefrontal_cortex,2929374
ARSD,escape,brain,2929374
ARSD,escape,brain10,2929374
ARSD,escape,brain20,2929374
ARSD,escape,brain7,2929374
ARSD,escape,whole_blood,2929374
ARSD,escape,PBMC,2929374
ARSD,escape,cord_blood,2929374
ARSD,escape,blood_spot,2929374
ARSD,escape,kidney_tubule,2929374
MXRA5,escape,peripheral_blood_leukocytes,3346642
MXRA5,escape,buccal,3346642
MXRA5,escape,buffy_coat,3346642
MXRA5,escape,blood,3346642
MXRA5,escape,saliva,3346642
MXRA5,escape,kidney,3346642
MXRA5,escape,muscle,3346642
MXRA5,escape,subcutaneous_fat,3346642
MXRA5,escape,omentum,3346642
MXRA5,escape,stomach,3346642
MXRA5,escape,hair,3346642
MXRA5,escape,heart,3346642
MXRA5,escape,pancreas,3346642
MXRA5,escape,adrenal,3346642
MXRA5,escape,spleen,3346642
MXRA5,escape,lung,3346642
MXRA5,escape,liver,3346642
MXRA5,escape,brain_prefrontal_cortex,3346642
MXRA5,escape,brain,3346642
MXRA5,escape,brain10,3346642
MXRA5,escape,brain20,3346642
MXRA5,escape,brain7,3346642
MXRA5,escape,whole_blood,3346642
MXRA5,escape,PBMC,3346642
MXRA5,escape,cord_blood,3346642
MXRA5,escape,blood_spot,3346642
MXRA5,escape,kidney_tubule,3346642
PRKX,escape,peripheral_blood_leukocytes,3713633
PRKX,escape,buccal,3713633
PRKX,escape,buffy_coat,3713633
PRKX,escape,blood,3713633
PRKX,escape,saliva,3713633
PRKX,escape,kidney,3713633
PRKX,escape,muscle,3713633
PRKX,escape,subcutaneous_fat,3713633
PRKX,escape,omentum,3713633
PRKX,escape,stomach,3713633
PRKX,escape,hair,3713633
PRKX,escape,heart,3713633
PRKX,escape,pancreas,3713633
PRKX,escape,adrenal,3713633
PRKX,escape,spleen,3713633
PRKX,escape,lung,3713633
PRKX,escape,liver,3713633
PRKX,escape,brain_prefrontal_cortex,3713633
PRKX,escape,brain,3713633
PRKX,escape,brain10,3713633
PRKX,escape,brain20,3713633
PRKX,escape,brain7,3713633
PRKX,escape,whole_blood,3713633
PRKX,escape,PBMC,3713633
PRKX,escape,cord_blood,3713633
PRKX,escape,blood_spot,3713633
PRKX,escape,kidney_tubule,3713633
NLGN4X,escape,peripheral_blood_leukocytes,6227074
NLGN4X,escape,buccal,6227074
NLGN4X,escape,buffy_coat,6227074
NLGN4X,escape,blood,6227074
NLGN4X,escape,saliva,6227074
NLGN4X,escape,kidney,6227074
NLGN4X,escape,muscle,6227074
NLGN4X,escape,subcutaneous_fat,6227074
NLGN4X,escape,omentum,6227074
NLGN4X,escape,stomach,6227074
NLGN4X,escape,hair,6227074
NLGN4X,escape,heart,6227074
NLGN4X,escape,pancreas,6227074
NLGN4X,escape,adrenal,6227074
NLGN4X,escape,spleen,6227074
NLGN4X,escape,lung,6227074
NLGN4X,escape,liver,6227074
NLGN4X,escape,brain_prefrontal_cortex,6227074
NLGN4X,escape,brain,6227074
NLGN4X,escape,brain10,6227074
NLGN4X,escape,brain20,6227074
NLGN4X,escape,brain7,6227074
NLGN4X,escape,whole_blood,6227074
NLGN4X,escape,PBMC,6227074
NLGN4X,escape,cord_blood,6227074
NLGN4X,escape,blood_spot,6227074
NLGN4X,escape,kidney_tubule,6227074
NLGN4X,escape,peripheral_blood_leukocytes,6227846
NLGN4X,escape,buccal,6227846
NLGN4X,escape,buffy_coat,6227846
NLGN4X,escape,blood,6227846
NLGN4X,escape,saliva,6227846
NLGN4X,escape,kidney,6227846
NLGN4X,escape,muscle,6227846
NLGN4X,escape,subcutaneous_fat,6227846
NLGN4X,escape,omentum,6227846
NLGN4X,escape,stomach,6227846
NLGN4X,escape,hair,6227846
NLGN4X,escape,heart,6227846
NLGN4X,escape,pancreas,6227846
NLGN4X,escape,adrenal,6227846
NLGN4X,escape,spleen,6227846
NLGN4X,escape,lung,6227846
NLGN4X,escape,liver,6227846
NLGN4X,escape,brain_prefrontal_cortex,6227846
NLGN4X,escape,brain,6227846
NLGN4X,escape,brain10,6227846
NLGN4X,escape,brain20,6227846
NLGN4X,escape,brain7,6227846
NLGN4X,escape,whole_blood,6227846
NLGN4X,escape,PBMC,6227846
NLGN4X,escape,cord_blood,6227846
NLGN4X,escape,blood_spot,6227846
NLGN4X,escape,kidney_tubule,6227846
NLGN4X,escape,peripheral_blood_leukocytes,6228664
NLGN4X,escape,buccal,6228664
NLGN4X,escape,buffy_coat,6228664
NLGN4X,escape,blood,6228664
NLGN4X,escape,saliva,6228664
NLGN4X,escape,kidney,6228664
NLGN4X,escape,muscle,6228664
NLGN4X,escape,subcutaneous_fat,6228664
NLGN4X,escape,omentum,6228664
NLGN4X,escape,stomach,6228664
NLGN4X,escape,hair,6228664
NLGN4X,escape,heart,6228664
NLGN4X,escape,pancreas,6228664
NLGN4X,escape,adrenal,6228664
NLGN4X,escape,spleen,6228664
NLGN4X,escape,lung,6228664
NLGN4X,escape,liver,6228664
NLGN4X,escape,brain_prefrontal_cortex,6228664
NLGN4X,escape,brain,6228664
NLGN4X,escape,brain10,6228664
NLGN4X,escape,brain20,6228664
NLGN4X,escape,brain7,6228664
NLGN4X,escape,whole_blood,6228664
NLGN4X,escape,PBMC,6228664
NLGN4X,escape,cord_blood,6228664
NLGN4X,escape,blood_spot,6228664
NLGN4X,escape,kidney_tubule,6228664
STS,escape,peripheral_blood_leukocytes,7148006
STS,escape,buccal,7148006
STS,escape,buffy_coat,7148006
STS,escape,blood,7148006
STS,escape,saliva,7148006
STS,escape,kidney,7148006
STS,escape,muscle,7148006
STS,escape,subcutaneous_fat,7148006
STS,escape,omentum,7148006
STS,escape,stomach,7148006
STS,escape,hair,7148006
STS,escape,heart,7148006
STS,escape,pancreas,7148006
STS,escape,adrenal,7148006
STS,escape,spleen,7148006
STS,escape,lung,7148006
STS,escape,liver,7148006
STS,escape,brain_prefrontal_cortex,7148006
STS,escape,brain,7148006
STS,escape,brain10,7148006
STS,escape,brain20,7148006
STS,escape,brain7,7148006
STS,escape,whole_blood,7148006
STS,escape,PBMC,7148006
STS,escape,cord_blood,7148006
STS,escape,blood_spot,7148006
STS,escape,kidney_tubule,7148006
HDHD1,escape,peripheral_blood_leukocytes,7148189
HDHD1,escape,buccal,7148189
HDHD1,escape,buffy_coat,7148189
HDHD1,escape,blood,7148189
HDHD1,escape,saliva,7148189
HDHD1,escape,kidney,7148189
HDHD1,escape,muscle,7148189
HDHD1,escape,subcutaneous_fat,7148189
HDHD1,escape,omentum,7148189
HDHD1,escape,stomach,7148189
HDHD1,escape,hair,7148189
HDHD1,escape,heart,7148189
HDHD1,escape,pancreas,7148189
HDHD1,escape,adrenal,7148189
HDHD1,escape,spleen,7148189
HDHD1,escape,lung,7148189
HDHD1,escape,liver,7148189
HDHD1,escape,brain_prefrontal_cortex,7148189
HDHD1,escape,brain,7148189
HDHD1,escape,brain10,7148189
HDHD1,escape,brain20,7148189
HDHD1,escape,brain7,7148189
HDHD1,escape,whole_blood,7148189
HDHD1,escape,PBMC,7148189
HDHD1,escape,cord_blood,7148189
HDHD1,escape,blood_spot,7148189
HDHD1,escape,kidney_tubule,7148189
PNPLA4,escape,peripheral_blood_leukocytes,7927433
PNPLA4,escape,buccal,7927433
PNPLA4,escape,buffy_coat,7927433
PNPLA4,escape,blood,7927433
PNPLA4,escape,saliva,7927433
PNPLA4,escape,kidney,7927433
PNPLA4,escape,muscle,7927433
PNPLA4,escape,subcutaneous_fat,7927433
PNPLA4,escape,omentum,7927433
PNPLA4,escape,stomach,7927433
PNPLA4,escape,hair,7927433
PNPLA4,escape,heart,7927433
PNPLA4,escape,pancreas,7927433
PNPLA4,escape,adrenal,7927433
PNPLA4,escape,spleen,7927433
PNPLA4,escape,lung,7927433
PNPLA4,escape,liver,7927433
PNPLA4,escape,brain_prefrontal_cortex,7927433
PNPLA4,escape,brain,7927433
PNPLA4,escape,brain10,7927433
PNPLA4,escape,brain20,7927433
PNPLA4,escape,brain7,7927433
PNPLA4,escape,whole_blood,7927433
PNPLA4,escape,PBMC,7927433
PNPLA4,escape,cord_blood,7927433
PNPLA4,escape,blood_spot,7927433
PNPLA4,escape,kidney_tubule,7927433
KAL1,escape,peripheral_blood_leukocytes,8732185
KAL1,escape,buccal,8732185
KAL1,escape,buffy_coat,8732185
KAL1,escape,blood,8732185
KAL1,escape,saliva,8732185
KAL1,escape,kidney,8732185
KAL1,escape,muscle,8732185
KAL1,escape,subcutaneous_fat,8732185
KAL1,escape,omentum,8732185
KAL1,escape,stomach,8732185
KAL1,escape,hair,8732185
KAL1,escape,heart,8732185
KAL1,escape,pancreas,8732185
KAL1,escape,adrenal,8732185
KAL1,escape,spleen,8732185
KAL1,escape,lung,8732185
KAL1,escape,liver,8732185
KAL1,escape,brain_prefrontal_cortex,8732185
KAL1,escape,brain,8732185
KAL1,escape,brain10,8732185
