"","GENE","POS_HG19","POS","TISS","FULL_TISS","TISS_STATE","STATUS"
"1","GYG2","2746862",2828821,"PB","peripheral_blood_leukocytes","escape","escape"
"2","GYG2","2746862",2828821,"BU","buccal","escape","escape"
"3","GYG2","2746862",2828821,"BC","buffy_coat","escape","escape"
"4","GYG2","2746862",2828821,"BL","blood","escape","escape"
"5","GYG2","2746862",2828821,"SA","saliva","escape","escape"
"6","GYG2","2746862",2828821,"KI","kidney","escape","escape"
"7","GYG2","2746862",2828821,"MU","muscle","escape","escape"
"8","GYG2","2746862",2828821,"SF","subcutaneous_fat","escape","escape"
"9","GYG2","2746862",2828821,"OM","omentum","escape","escape"
"10","GYG2","2746862",2828821,"ST","stomach","escape","escape"
"11","GYG2","2746862",2828821,"HA","hair","escape","escape"
"12","GYG2","2746862",2828821,"HE","heart","escape","escape"
"13","GYG2","2746862",2828821,"PA","pancreas","escape","escape"
"14","GYG2","2746862",2828821,"AD","adrenal","escape","escape"
"15","GYG2","2746862",2828821,"SL","spleen","escape","escape"
"16","GYG2","2746862",2828821,"LU","lung","escape","escape"
"17","GYG2","2746862",2828821,"LI","liver","escape","escape"
"18","GYG2","2746862",2828821,"PC","brain_prefrontal_cortex","escape","escape"
"19","GYG2","2746862",2828821,"BR","brain","escape","escape"
"20","GYG2","2746862",2828821,"B1","brain10","escape","escape"
"21","GYG2","2746862",2828821,"B2","brain20","escape","escape"
"22","GYG2","2746862",2828821,"B7","brain7","escape","escape"
"23","GYG2","2746862",2828821,"WB","whole_blood","escape","escape"
"24","GYG2","2746862",2828821,"PM","PBMC","escape","escape"
"25","GYG2","2746862",2828821,"CB","cord_blood","escape","escape"
"26","GYG2","2746862",2828821,"BS","blood_spot","escape","escape"
"27","GYG2","2746862",2828821,"KT","kidney_tubule","escape","escape"
"28","ARSD","2847415",2929374,"PB","peripheral_blood_leukocytes","escape","escape"
"29","ARSD","2847415",2929374,"BU","buccal","escape","escape"
"30","ARSD","2847415",2929374,"BC","buffy_coat","escape","escape"
"31","ARSD","2847415",2929374,"BL","blood","escape","escape"
"32","ARSD","2847415",2929374,"SA","saliva","escape","escape"
"33","ARSD","2847415",2929374,"KI","kidney","escape","escape"
"34","ARSD","2847415",2929374,"MU","muscle","escape","escape"
"35","ARSD","2847415",2929374,"SF","subcutaneous_fat","escape","escape"
"36","ARSD","2847415",2929374,"OM","omentum","escape","escape"
"37","ARSD","2847415",2929374,"ST","stomach","escape","escape"
"38","ARSD","2847415",2929374,"HA","hair","escape","escape"
"39","ARSD","2847415",2929374,"HE","heart","escape","escape"
"40","ARSD","2847415",2929374,"PA","pancreas","escape","escape"
"41","ARSD","2847415",2929374,"AD","adrenal","escape","escape"
"42","ARSD","2847415",2929374,"SL","spleen","escape","escape"
"43","ARSD","2847415",2929374,"LU","lung","escape","escape"
"44","ARSD","2847415",2929374,"LI","liver","escape","escape"
"45","ARSD","2847415",2929374,"PC","brain_prefrontal_cortex","escape","escape"
"46","ARSD","2847415",2929374,"BR","brain","escape","escape"
"47","ARSD","2847415",2929374,"B1","brain10","escape","escape"
"48","ARSD","2847415",2929374,"B2","brain20","escape","escape"
"49","ARSD","2847415",2929374,"B7","brain7","escape","escape"
"50","ARSD","2847415",2929374,"WB","whole_blood","escape","escape"
"51","ARSD","2847415",2929374,"PM","PBMC","escape","escape"
"52","ARSD","2847415",2929374,"CB","cord_blood","escape","escape"
"53","ARSD","2847415",2929374,"BS","blood_spot","escape","escape"
"54","ARSD","2847415",2929374,"KT","kidney_tubule","escape","escape"
"55","MXRA5","3264683",3346642,"PB","peripheral_blood_leukocytes","escape","escape"
"56","MXRA5","3264683",3346642,"BU","buccal","escape","escape"
"57","MXRA5","3264683",3346642,"BC","buffy_coat","escape","escape"
"58","MXRA5","3264683",3346642,"BL","blood","escape","escape"
"59","MXRA5","3264683",3346642,"SA","saliva","escape","escape"
"60","MXRA5","3264683",3346642,"KI","kidney","escape","escape"
"61","MXRA5","3264683",3346642,"MU","muscle","escape","escape"
"62","MXRA5","3264683",3346642,"SF","subcutaneous_fat","escape","escape"
"63","MXRA5","3264683",3346642,"OM","omentum","escape","escape"
"64","MXRA5","3264683",3346642,"ST","stomach","escape","escape"
"65","MXRA5","3264683",3346642,"HA","hair","escape","escape"
"66","MXRA5","3264683",3346642,"HE","heart","escape","escape"
"67","MXRA5","3264683",3346642,"PA","pancreas","escape","escape"
"68","MXRA5","3264683",3346642,"AD","adrenal","escape","escape"
"69","MXRA5","3264683",3346642,"SL","spleen","escape","escape"
"70","MXRA5","3264683",3346642,"LU","lung","escape","escape"
"71","MXRA5","3264683",3346642,"LI","liver","escape","escape"
"72","MXRA5","3264683",3346642,"PC","brain_prefrontal_cortex","escape","escape"
"73","MXRA5","3264683",3346642,"BR","brain","escape","escape"
"74","MXRA5","3264683",3346642,"B1","brain10","escape","escape"
"75","MXRA5","3264683",3346642,"B2","brain20","escape","escape"
"76","MXRA5","3264683",3346642,"B7","brain7","escape","escape"
"77","MXRA5","3264683",3346642,"WB","whole_blood","escape","escape"
"78","MXRA5","3264683",3346642,"PM","PBMC","escape","escape"
"79","MXRA5","3264683",3346642,"CB","cord_blood","escape","escape"
"80","MXRA5","3264683",3346642,"BS","blood_spot","escape","escape"
"81","MXRA5","3264683",3346642,"KT","kidney_tubule","escape","escape"
"82","PRKX","3631674",3713633,"PB","peripheral_blood_leukocytes","escape","escape"
"83","PRKX","3631674",3713633,"BU","buccal","escape","escape"
"84","PRKX","3631674",3713633,"BC","buffy_coat","escape","escape"
"85","PRKX","3631674",3713633,"BL","blood","escape","escape"
"86","PRKX","3631674",3713633,"SA","saliva","escape","escape"
"87","PRKX","3631674",3713633,"KI","kidney","escape","escape"
"88","PRKX","3631674",3713633,"MU","muscle","escape","escape"
"89","PRKX","3631674",3713633,"SF","subcutaneous_fat","escape","escape"
"90","PRKX","3631674",3713633,"OM","omentum","escape","escape"
