GENE,POS_HG19,POS,TISS,FULL_TISS,TISS_STATE,STATUS,COLOR,START,STOP
ABCB7,74376131,75156296,WB,whole_blood,uncalled,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,PM,PBMC,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,BS,blood_spot,uncalled,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,SA,saliva,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,KI,kidney,uncalled,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,B2,brain20,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,B7,brain7,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,BU,buccal,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,CB,cord_blood,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,MU,muscle,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,SF,subcutaneous_fat,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,OM,omentum,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,BC,buffy_coat,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,LU,lung,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,B1,brain10,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,BL,blood,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,PA,pancreas,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,KT,kidney_tubule,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,SL,spleen,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,AD,adrenal,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,PC,brain_prefrontal_cortex,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,BR,brain,uncalled,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,PB,peripheral_blood_leukocytes,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,HE,heart,inactive,variable,turquoise3,75051048,75156732
