DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
1/16/13,23064961,Shaffer JR,10/11/12,J Dent Res,www.ncbi.nlm.nih.gov/pubmed/23064961,GWAS of dental caries patterns in the permanent dentition.,Dental caries,920 European ancestry individuals,NA,Xq26.1,X,130065837,BCORL1,ELF4,,,ENSG00000102034,,,rs3788848-?,rs3788848,0,3788848,3_prime_UTR_variant,0,NR,3.00E-06,5.522878745,"(DMFS5,DMFS5max)",,,Illumina [518997],N
3/27/14,24043878,Wong EH,9/16/13,Schizophr Bull,www.ncbi.nlm.nih.gov/pubmed/24043878,Common variants on Xq28 conferring risk of schizophrenia in Han Chinese.,Schizophrenia,"481 Han Chinese ancestry cases, 2,025 Han Chinese ancestry controls","1,088 Han Chinese ancestry cases, 1,063 Han Chinese ancestry controls",Xq28,X,153942092,"RENBP, MECP2, ARHGAP4",RENBP,,,ENSG00000102032,,,rs2269372-A,rs2269372,0,2269372,intron_variant,0,NR,4.00E-08,7.397940009,,1.313,[NR],Illumina [2383054] (imputed),N
8/7/12,22610502,Kennedy RB,5/19/12,Hum Genet,www.ncbi.nlm.nih.gov/pubmed/22610502,Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.,Immune reponse to smallpox (secreted IFN-alpha),"Up to 512 European ancestry individuals, up to 199 African American individuals",NA,Xp22.11,X,23365327,PTCHD1,PTCHD1,,,ENSG00000165186,,,rs5925760-A,rs5925760,0,5925760,intron_variant,0,,1.00E-07,7,(AA),,,Illumina [NR],N
8/7/12,22610502,Kennedy RB,5/19/12,Hum Genet,www.ncbi.nlm.nih.gov/pubmed/22610502,Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.,Immune reponse to smallpox (secreted IFN-alpha),"Up to 512 European ancestry individuals, up to 199 African American individuals",NA,Xq25,X,124939813,ODZ1,TENM1,,,ENSG00000009694,,,rs7060947-G,rs7060947,0,7060947,intron_variant,0,,1.00E-07,7,(AA),,,Illumina [NR],N
8/7/12,22610502,Kennedy RB,5/19/12,Hum Genet,www.ncbi.nlm.nih.gov/pubmed/22610502,Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.,Immune reponse to smallpox (secreted IFN-alpha),"Up to 512 European ancestry individuals, up to 199 African American individuals",NA,Xq27.3,X,146667390,LOC100128265,Z97180.1 - CXorf51B,ENSG00000231686,ENSG00000235699,,46806,142381,rs381365-A,rs381365,0,381365,intergenic_variant,1,,2.00E-12,11.69897,(AA),,,Illumina [NR],N
8/7/12,22610502,Kennedy RB,5/19/12,Hum Genet,www.ncbi.nlm.nih.gov/pubmed/22610502,Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.,Immune reponse to smallpox (secreted IFN-alpha),"Up to 512 European ancestry individuals, up to 199 African American individuals",NA,Xq28,X,150467029,MAMLD1,MAMLD1,,,ENSG00000013619,,,rs17252936-G,rs17252936,0,17252936,intron_variant,0,,6.00E-10,9.22184875,(AA),,,Illumina [NR],N
8/7/12,22610502,Kennedy RB,5/19/12,Hum Genet,www.ncbi.nlm.nih.gov/pubmed/22610502,Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.,Immune reponse to smallpox (secreted IFN-alpha),"Up to 512 European ancestry individuals, up to 199 African American individuals",NA,Xp22.11,X,22129934,PHEX,PHEX,,,ENSG00000102174,,,rs1540283-G,rs1540283,0,1540283,intron_variant,0,,9.00E-09,8.045757491,(AA),,,Illumina [NR],N
8/7/12,22610502,Kennedy RB,5/19/12,Hum Genet,www.ncbi.nlm.nih.gov/pubmed/22610502,Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.,Immune reponse to smallpox (secreted IL-1beta),"Up to 512 European ancestry individuals, up to 199 African American individuals",NA,Xq21.33,X,98609356,LOC100128151,AL157778.1,,,ENSG00000281566,,,rs4827947-A,rs4827947,0,4827947,intron_variant,0,,3.00E-07,6.522878745,(AA),,,Illumina [NR],N
3/25/10,20195514,Pillas D,2/26/10,PLoS Genet,www.ncbi.nlm.nih.gov/pubmed/20195514,Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.,Primary tooth development (number of teeth),"5,752 European ancestry related individuals",NA,Xq13.1,X,69585474,EDA,AL158069.1 - EDA,ENSG00000228160,ENSG00000158813,,9137,30593,rs4844096-G,rs4844096,0,4844096,intergenic_variant,1,0.42,5.00E-11,10.30103,,,,Illumina [300766],N
3/25/10,20195514,Pillas D,2/26/10,PLoS Genet,www.ncbi.nlm.nih.gov/pubmed/20195514,Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.,Primary tooth development (time to first tooth eruption),"5,919 European ancestry related individuals",NA,Xq13.1,X,69673072,EDA,EDA,,,ENSG00000158813,,,rs5936487-G,rs5936487,0,5936487,intron_variant,0,0.39,6.00E-11,10.22184875,,,,Illumina [300766],N
