"","GENE","ESCAPE_CATEGORY","AVG_P_VAL","START","END","BAND_COLOR","CHROM_POS"
"1","ACSL4","VARIABLE","0.395382399366376","109641335","109733403","gray20","Xq23"
"2","AKAP17A","VARIABLE","0.0154743487235288","1591604","1602520","gray80","Xp22.33"
"3","ASMTL","VARIABLE","0.0184524799196548","1403139","1453762","gray80","Xp22.33"
"4","ATP6AP1","VARIABLE","0.536746516120132","154428677","154436516","gray80","Xq28"
"5","ATP6AP2","SUPPRESS","0.601161912363088","40580894","40606848","gray80","Xp11.4"
"6","BTK","VARIABLE","0.639096277671592","101349447","101390796","gray80","Xq22.1"
"7","CFP","VARIABLE","0.551424254264181","47624214","47630305","gray80","Xp11.23"
"8","CXorf21","VARIABLE","0.0253856435388233","30558809","30577766","gray80","Xp21.2"
"9","CXorf38","VARIABLE","0.148036276612609","40626921","40647561","gray80","Xp11.4"
"10","DDX3X","VARIABLE","0.0219466037656476","41333284","41364472","gray80","Xp11.4"
"11","DHRSX","VARIABLE","0.0145914605508615","2219506","2500976","gray80","Xp22.33"
"12","DNASE1L1","VARIABLE","0.458432231806336","154401238","154412090","gray80","Xq28"
"13","EDA2R","VARIABLE","0.371875309158504","66595637","66639298","gray40","Xq12"
"14","ELF4","VARIABLE","0.476583224256469","130064874","130110716","gray80","Xq26.1"
"15","FAM3A","VARIABLE","0.464902069946207","154506159","154516242","gray80","Xq28"
"16","FLNA","VARIABLE","0.479643162153731","154348529","154374638","gray80","Xq28"
"17","FMR1","VARIABLE","0.52974631734576","147911951","147951125","gray0","Xq27.3"
"18","G6PD","VARIABLE","0.551983549494078","154531391","154547572","gray80","Xq28"
"19","GDI1","VARIABLE","0.475770578114607","154436913","154443467","gray80","Xq28"
"20","GPR174","VARIABLE","0.231503643798407","79144663","79175315","gray0","Xq21.1"
"21","GTPBP6","VARIABLE","0.025470831597192","304750","318819","gray80","Xp22.33"
"22","HAUS7","VARIABLE","0.646152196497134","153447666","153495516","gray80","Xq28"
