#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:1,1,1,X,X,1,1,99890204,99890204,+,99890204,99890204,100635207,100635207,+,1,First Pass,Primary Assembly
Line:2,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:3,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:4,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:5,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:6,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:7,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:8,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:9,1,1,X,X,1,1,2651566,2651566,+,2651566,2651566,2733525,2733525,+,1,First Pass,Primary Assembly
Line:10,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:11,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:12,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:13,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:14,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:15,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:16,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:17,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:18,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:19,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:20,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:21,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:22,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:23,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:24,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:25,1,1,X,X,1,1,24231009,24231009,+,24231009,24231009,24212892,24212892,+,1,First Pass,Primary Assembly
Line:26,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:27,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:28,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:29,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:30,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:31,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:32,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:33,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:34,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:35,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:36,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:37,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:38,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:39,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:40,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:41,1,1,X,X,1,1,119571541,119571541,+,119571541,119571541,120437686,120437686,+,1,First Pass,Primary Assembly
Line:42,1,2,X,X,1,1,2832742,2832742,+,2832742,2832742,2914701,2914701,+,1,First Pass,Primary Assembly
Line:43,1,2,X,X,1,1,2832742,2832742,+,2832742,2832742,2914701,2914701,+,1,First Pass,Primary Assembly
Line:44,1,2,X,X,1,1,2832742,2832742,+,2832742,2832742,2914701,2914701,+,1,First Pass,Primary Assembly
Line:45,1,1,X,X,1,1,7867435,7867435,+,7867435,7867435,7899394,7899394,+,1,First Pass,Primary Assembly
Line:46,1,1,X,X,1,1,7867435,7867435,+,7867435,7867435,7899394,7899394,+,1,First Pass,Primary Assembly
Line:47,1,1,X,X,1,1,7867435,7867435,+,7867435,7867435,7899394,7899394,+,1,First Pass,Primary Assembly
Line:48,1,1,X,X,1,1,7867435,7867435,+,7867435,7867435,7899394,7899394,+,1,First Pass,Primary Assembly
