#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:1,1,1,chrX,chrX,21963,21963,198060,220022,+,198060,220022,281393,303355,+,1,First Pass,Primary Assembly
Line:2,1,1,chrX,chrX,952,952,287991,288942,+,287991,288942,327256,328207,+,1,First Pass,Primary Assembly
Line:3,1,1,chrX,chrX_KI270880v1_alt,53024,32416,294667,347690,+,315275,347690,37893,70308,+,0.61135,Second Pass,ALT_REF_LOCI_1
Line:3,1,2,chrX,chrX_KI270913v1_alt,53024,33502,294667,347690,+,314189,347690,25947,59448,+,0.63183,Second Pass,ALT_REF_LOCI_2
Line:3,1,3,chrX,chrX,53024,53024,294667,347690,+,294667,347690,333932,386955,+,1,First Pass,Primary Assembly
Line:4,1,1,chrX,chrX_KI270880v1_alt,15888,15888,404881,420768,+,404881,420768,127499,143386,+,1,Second Pass,ALT_REF_LOCI_1
Line:4,1,2,chrX,chrX_KI270913v1_alt,15888,15888,404881,420768,+,404881,420768,116639,132526,+,1,Second Pass,ALT_REF_LOCI_2
Line:4,1,3,chrX,chrX,15888,15888,404881,420768,+,404881,420768,444146,460033,+,1,First Pass,Primary Assembly
Line:5,1,1,chrX,chrX,22481,22481,585078,607558,+,585078,607558,624343,646823,+,1,First Pass,Primary Assembly
Line:6,1,1,chrX,chrX,16644,15865,1314886,1331529,+,1314886,1331529,1196772,1212636,+,0.9532,First Pass,Primary Assembly
Line:7,1,1,chrX,chrX,27259,27259,1401570,1428828,+,1401570,1428828,1282677,1309935,+,1,First Pass,Primary Assembly
Line:8,1,1,chrX,chrX,46075,46075,1455508,1501582,+,1455508,1501582,1336615,1382689,+,1,First Pass,Primary Assembly
Line:9,1,1,chrX,chrX,5996,5996,1505044,1511039,+,1505044,1511039,1386151,1392146,+,1,First Pass,Primary Assembly
Line:10,1,1,chrX,chrX,49840,49840,1522031,1571870,+,1522031,1571870,1403138,1452977,+,1,First Pass,Primary Assembly
Line:11,1,1,chrX,chrX,74573,74573,1581465,1656037,+,1581465,1656037,1462572,1537144,+,1,First Pass,Primary Assembly
Line:12,1,1,chrX,chrX,10927,10927,1710485,1721411,+,1710485,1721411,1591592,1602518,+,1,First Pass,Primary Assembly
Line:13,1,1,chrX,chrX,7035,7035,1895251,1902285,+,1895251,1902285,1776358,1783392,+,1,First Pass,Primary Assembly
Line:14,1,1,chrX,chrX,281462,281462,2137554,2419015,+,2137554,2419015,2219513,2500974,+,1,First Pass,Primary Assembly
Line:15,1,1,chrX,chrX,43122,43122,2484069,2527190,+,2484069,2527190,2566028,2609149,+,1,First Pass,Primary Assembly
Line:16,1,1,chrX,chrX,47966,47966,2527305,2575270,+,2527305,2575270,2609264,2657229,+,1,First Pass,Primary Assembly
Line:17,1,1,chrX,chrX,50124,50124,2609227,2659350,+,2609227,2659350,2691186,2741309,+,1,First Pass,Primary Assembly
Line:18,1,1,chrX,chrX,64450,64450,2670092,2734541,+,2670092,2734541,2752051,2816500,+,1,First Pass,Primary Assembly
Line:19,1,1,chrX,chrX,54000,54000,2746862,2800861,+,2746862,2800861,2828821,2882820,+,1,First Pass,Primary Assembly
Line:20,1,1,chrX,chrX,25407,25407,2822010,2847416,+,2822010,2847416,2903969,2929375,+,1,First Pass,Primary Assembly
Line:21,1,1,chrX,chrX,29823,29823,2852672,2882494,+,2852672,2882494,2934631,2964453,+,1,First Pass,Primary Assembly
Line:22,1,1,chrX,chrX,38077,38077,3226608,3264684,+,3226608,3264684,3308567,3346643,+,1,First Pass,Primary Assembly
Line:23,1,1,chrX,chrX,109293,109293,3522383,3631675,+,3522383,3631675,3604342,3713634,+,1,First Pass,Primary Assembly
Line:24,1,1,chrX,chrX,26361,26361,3735575,3761935,+,3735575,3761935,3817534,3843894,+,1,First Pass,Primary Assembly
Line:25,1,1,chrX,chrX,72886,72886,5571461,5644346,+,5571461,5644346,5653420,5726305,+,1,First Pass,Primary Assembly
Line:26,1,1,chrX,chrX,338625,338625,5808082,6146706,+,5808082,6146706,5890041,6228665,+,1,First Pass,Primary Assembly
Line:27,1,1,chrX,chrX,207798,207798,6687404,6895201,+,6687404,6895201,6769363,6977160,+,1,First Pass,Primary Assembly
Line:28,1,1,chrX,chrX,99272,99272,6966960,7066231,+,6966960,7066231,7048919,7148190,+,1,First Pass,Primary Assembly
