DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
10/16/19,31562340,Akiyama M,9/27/19,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31562340,Characterizing rare and low-frequency height-associated variants in the Japanese population.,Height,"159,095 Japanese ancestry individuals","32,692 Japanese ancestry individuals",Xq21.1,X,77216412,"MIR325, FGF16",RNA5SP509 - SPRYD7P1,ENSG00000201447,ENSG00000234404,,149585,157800,rs5938929-?,rs5938929,0,5938929,intergenic_variant,1,NR,1.00E-42,42,,0.041131224,[0.035-0.047] unit decrease,Illumina [27896057] (imputed),N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008839,Genome-wide genotyping array
7/9/20,32157568,Strupp M,3/10/20,Cerebellum,www.ncbi.nlm.nih.gov/pubmed/32157568,A Variation in FGF14 Is Associated with Downbeat Nystagmus in a Genome-Wide Association Study.,Idiopathic downbeat nystagmus,"106 European ancestry cases, 2,609 European ancestry controls",NA,Xq28,X,149450759,IDS,AC231656.1 - IDS,ENSG00000287585,ENSG00000010404,,35264,26229,rs187733794-T,rs187733794,0,187733794,intergenic_variant,1,0.02,4.00E-06,5.397940009,,4.89,[2.48-9.65],Illumina [7759885] (imputed),N,Nystagmus,http://purl.obolibrary.org/obo/HP_0000639,GCST010172,Genome-wide genotyping array
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 799 African American cases, 157,769 European ancestry controls, 14,353 African American controls",NA,Xq28,X,155195893,F8,BX293995.1 - VBP1,ENSG00000235991,ENSG00000155959,,39390,1114,rs143478537-G,rs143478537,0,143478537,intergenic_variant,1,NR,3.00E-08,7.522878745,,1.08,[1.05-1.11],"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009030,"Genome-wide genotyping array, Exome-wide sequencing"
10/16/19,31562340,Akiyama M,9/27/19,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31562340,Characterizing rare and low-frequency height-associated variants in the Japanese population.,Height,"159,095 Japanese ancestry individuals","32,692 Japanese ancestry individuals",Xq24,X,119460459,"SLC25A43, SLC25A5-AS1",RNY3P16 - SLC25A5-AS1,ENSG00000252147,ENSG00000224281,,3801,5527,rs3848873-?,rs3848873,0,3848873,intergenic_variant,1,NR,3.00E-22,21.52287875,,0.025958868,[0.021-0.031] unit increase,Illumina [27896057] (imputed),N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008839,Genome-wide genotyping array
10/16/19,31562340,Akiyama M,9/27/19,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31562340,Characterizing rare and low-frequency height-associated variants in the Japanese population.,Height,"159,095 Japanese ancestry individuals","32,692 Japanese ancestry individuals",Xq27.1,X,140199935,"LOC389895, SOX3",AL589987.1 - FO393408.1,ENSG00000230707,ENSG00000231110,,107374,16100,rs426349-?,rs426349,0,426349,intergenic_variant,1,NR,1.00E-13,13,,0.02264051,[0.017-0.029] unit increase,Illumina [27896057] (imputed),N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008839,Genome-wide genotyping array
10/16/19,31562340,Akiyama M,9/27/19,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31562340,Characterizing rare and low-frequency height-associated variants in the Japanese population.,Height,"159,095 Japanese ancestry individuals","32,692 Japanese ancestry individuals",Xp11.21,X,57322090,FAAH2,FAAH2,,,ENSG00000165591,,,rs7058676-?,rs7058676,0,7058676,intron_variant,0,NR,2.00E-29,28.69897,,0.03290996,[0.027-0.039] unit decrease,Illumina [27896057] (imputed),N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008839,Genome-wide genotyping array
10/16/19,31562340,Akiyama M,9/27/19,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31562340,Characterizing rare and low-frequency height-associated variants in the Japanese population.,Height,"159,095 Japanese ancestry individuals","32,692 Japanese ancestry individuals",Xq26.3,X,134549560,LINC00629,MIR424 - LINC00629,ENSG00000284231,ENSG00000227060,,2849,210,rs7065171-?,rs7065171,0,7065171,regulatory_region_variant,1,NR,1.00E-14,14,,0.02647431,[0.02-0.033] unit increase,Illumina [27896057] (imputed),N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008839,Genome-wide genotyping array
2/7/20,25147954,Enroth S,8/22/14,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/25147954,Strong effects of genetic and lifestyle factors on biomarker variation and use of personalized cutoffs.,CD40 ligand levels,up to 653 individuals,up to 317 individuals,Xq26.3,X,136659284,CD40LG,CD40LG,,,ENSG00000102245,,,rs148594123-A,rs148594123,0,148594123,missense_variant,0,0.063163,1.00E-25,25,,0.96,[0.78-1.14] unit decrease,Illumina [4840842] (imputed),N,CD40 ligand measurement,http://www.ebi.ac.uk/efo/EFO_0004790,GCST009565,Exome genotyping array [Exome array]
2/7/20,25147954,Enroth S,8/22/14,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/25147954,Strong effects of genetic and lifestyle factors on biomarker variation and use of personalized cutoffs.,vascular endothelial growth factor D levels,up to 653 individuals,up to 317 individuals,Xp22.2,X,15290170,ASB11,ASB11,,,ENSG00000165192,,,rs188779336-G,rs188779336,0,188779336,intron_variant,0,0.012998,1.00E-15,15,,1.58,[1.19-1.97] unit decrease,Illumina [4840842] (imputed),N,vascular endothelial growth factor D measurement,http://www.ebi.ac.uk/efo/EFO_0010575,GCST009571,Exome genotyping array [Exome array]
2/7/20,25147954,Enroth S,8/22/14,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/25147954,Strong effects of genetic and lifestyle factors on biomarker variation and use of personalized cutoffs.,vascular endothelial growth factor D levels,up to 653 individuals,up to 317 individuals,Xp22.2,X,15347316,FIGF,VEGFD,,,ENSG00000165197,,,rs146086561-T,rs146086561,0,146086561,missense_variant,0,0.01109,2.00E-15,14.69897,,1.57,[1.18-1.96] unit decrease,Illumina [4840842] (imputed),N,vascular endothelial growth factor D measurement,http://www.ebi.ac.uk/efo/EFO_0010575,GCST009571,Exome genotyping array [Exome array]
