GENE,STATE,START,END
ACSL4,Escape,109641335,109733403
AKAP17A,Escape,1591604,1602520
ASMTL,Escape,1403139,1453762
ATP6AP1,Inactive,154428677,154436516
ATP6AP2,Inactive,40580894,40606848
BTK,Inactive,101349447,101390796
CFP,Inactive,47624214,47630305
CXorf21,Escape,30558809,30577766
CXorf38,Escape,40626921,40647561
DDX3X,Escape,41333284,41364472
DHRSX,Escape,2219506,2500976
DNASE1L1,Escape,154401238,154412090
EDA2R,Inactive,66595637,66639298
ELF4,Inactive,130064874,130110716
FAM3A,Inactive,154506159,154516242
FLNA,Inactive,154348529,154374638
FMR1,Escape,147911951,147951125
G6PD,Inactive,154531391,154547572
GDI1,Inactive,154436913,154443467
GPR174,Escape,79144663,79175315
GTPBP6,Escape,304750,318819
HAUS7,Inactive,153447666,153495516
HCFC1,Escape,153947557,153971818
HNRNPH2,Inactive,101408222,101414133
HUWE1,Inactive,53532096,53686719
IDS,Inactive,149476988,149505347
IL3RA,Escape,1336616,1382689
IRAK1,Inactive,154010506,154019902
ITM2A,Inactive,79360384,79367552
KDM6A,Escape,44873177,45112602
LAMP2,Inactive,120426148,120469365
MSL3,Escape,11758159,11775772
PGK1,Inactive,77910739,78129295
PHF6,Inactive,134373253,134428791
PLCXD1,Escape,276322,303356
PLXNA3,Inactive,154458281,154477779
PRKX,Escape,3604340,3713649
PRPS2,Inactive,12791370,12824222
RAB9A,Escape,13689128,13710504
RBBP7,Escape,16844341,16870414
RBM10,Inactive,47145221,47186813
RPL10,Inactive,154397154,154402339
SASH3,Inactive,129779949,129795201
SYN1,Inactive,47571901,47619857
TIMP1,Inactive,47582408,47586789
TMSB4X,Escape,12975110,12977227
TREX2,Inactive,153444720,153470587
TXLNG,Escape,16786432,16844519
UBL4A,Inactive,154483717,154486615
VBP1,Inactive,155197007,155239841
WWC3,Escape,10015562,10144478
XIAP,Inactive,123859812,123913979
XIST,Inactive,73820651,73852723
ZBED1,Escape,2486414,2500976
ZNF275,Escape,153334147,153352926
AKAP17A,Escape,1591604,1602520
